Postal Code,City,District
50288,Kalakarambewa,Anuradhapura
50300,Mihintale,Anuradhapura
50304,lhalagama,Anuradhapura
50306,Mahakanadarawa,Anuradhapura
50308,Maradankalla,Anuradhapura
50320,Kahatagasdigiliya,Anuradhapura
50326,Parakumpura,Anuradhapura
50327,Mahapothana,Anuradhapura
50334,Megodawewa,Anuradhapura
50338,Padikaramaduwa,Anuradhapura
50344,Muriyakadawala,Anuradhapura
50350,Horawpatana,Anuradhapura
50354,Parangiyawadiya,Anuradhapura
50356,Dematawewa,Anuradhapura
50370,Kapugallawa,Anuradhapura
50380,Seeppukulama,Anuradhapura
50382,Upuldeniya,Anuradhapura
50384,Mailagaswewa,Anuradhapura
50386,Rampathwila,Anuradhapura
50390,Galenbindunuwewa,Anuradhapura
50392,Getalawa,Anuradhapura
50393,Dutuwewa,Anuradhapura
50394,Hurulunikawewa,Anuradhapura
50448,Pandukabayapura,Anuradhapura
50450,Rambewa,Anuradhapura
50454,Kallanchiya,Anuradhapura
50492,Wahamalgollewa,Anuradhapura
50500,Medawachchiya,Anuradhapura
50506,Punewa,Anuradhapura
50512,Pihimbiyagolewa,Anuradhapura
50514,Rathmalgahawewa,Anuradhapura
50516,Walahaviddawewa,Anuradhapura
50518,Etaweeragollewa,Anuradhapura
50550,Kebithigollewa,Anuradhapura
50552,Halmillawetiya,Anuradhapura
50554,Gonahaddenawa,Anuradhapura
50556,Kalawedi Ulpotha,Anuradhapura
50558,Tittagonewa,Anuradhapura
50562,Kahatagollewa,Anuradhapura
50564,Wahalkada,Anuradhapura
50566,Bogahawewa,Anuradhapura
50567,Pulmoddai,Anuradhapura
50570,Padaviya,Anuradhapura
50572,Padavi Maithripura,Anuradhapura
50574,Mahasenpura,Anuradhapura
50582,Padavi Parakramapura,Anuradhapura
50584,Etawatunuwewa,Anuradhapura
50586,Welioya Project,Anuradhapura
50587,Padavi Sripura,Anuradhapura
50588,Padavi Sritissapura,Anuradhapura
51000,Polonnaruwa,Polonnaruwa
51002,Kalingaela,Polonnaruwa
51004,Onegama,Polonnaruwa
51006,Lakshauyana,Polonnaruwa
51008,Unagalavehera,Polonnaruwa
51014,Alutwewa,Polonnaruwa
51016,Parakramasamudraya,Polonnaruwa
51024,Jayanthipura,Polonnaruwa
51026,Giritale,Polonnaruwa
51031,Dimbulagala,Polonnaruwa
51033,Pelatiyawa,Polonnaruwa
51034,Ellewewa,Polonnaruwa
51037,Kalukele Badanagala,Polonnaruwa
51044,Talpotha,Polonnaruwa
51046,Palugasdamana,Polonnaruwa
51049,Tambala,Polonnaruwa
51050,Pulastigama,Polonnaruwa
51052,Sungavila,Polonnaruwa
51062,Sevanapitiya,Polonnaruwa
51070,Welikanda,Polonnaruwa
51072,Aselapura,Polonnaruwa
51076,Mahawela Sinhapura,Polonnaruwa
51089,Tamankaduwa,Polonnaruwa
51090,Manampitiya,Polonnaruwa
51092,Dalukana,Polonnaruwa
51094,Dewagala,Polonnaruwa
51098,Hansayapalama,Polonnaruwa
51100,Aralaganwila,Polonnaruwa
51102,Pimburattewa,Polonnaruwa
51104,Divuldamana,Polonnaruwa
51106,Damminna,Polonnaruwa
51108,Maduruoya,Polonnaruwa
51225,Diyabeduma,Polonnaruwa
51235,Attanakadawala,Polonnaruwa
51246,Jayasiripura,Polonnaruwa
51250,Bakamuna,Polonnaruwa
51258,Elahera,Polonnaruwa
51375,Galoya Junction,Polonnaruwa
51378,Sinhagama,Polonnaruwa
51400,Hingurakgoda,Polonnaruwa
51408,Hingurakdamana,Polonnaruwa
51410,Minneriya,Polonnaruwa
51416,Galamuna,Polonnaruwa
51422,Yodaela,Polonnaruwa
51424,Yudaganawa,Polonnaruwa
51428,Divulankadawala,Polonnaruwa
51500,Medirigiriya,Polonnaruwa
51504,Diyasenpura,Polonnaruwa
51506,Mahatalakolawewa,Polonnaruwa
51508,Meegaswewa,Polonnaruwa
51518,MahaAmbagaswewa,Polonnaruwa
600,Colombo 06,Colombo
60000,Kurunegala,Puttalam
60013,Doratiyawa,Puttalam
60016,Indulgodakanda,Puttalam
60024,Demataluwa,Puttalam
60025,Ithanawatta,Puttalam
60027,Boyagane,Puttalam
60034,Hindagolla,Puttalam
60036,Ambakote,Puttalam
60040,Ridigama,Puttalam
60044,Delwite,Puttalam
60045,Iriyagolla,Puttalam
60047,Alawatuwala,Puttalam
60052,Panagamuwa,Puttalam
60053,Pihimbuwa,Puttalam
60054,Kanadeniyawala,Puttalam
60058,Pilessa,Puttalam
60060,Mawathagama,Puttalam
60062,Kahapathwala,Puttalam
60064,Inguruwatta,Puttalam
60066,Meetanwala,Puttalam
60072,Puswelitenna,Puttalam
60074,Anhandiya,Puttalam
60076,Buluwala,Puttalam
60094,Uhumiya,Puttalam
60096,Kalugamuwa,Puttalam
60100,Narammala,Puttalam
60106,Karagahagedara,Puttalam
60107,Bogamulla,Puttalam
60108,Lonahettiya,Puttalam
60112,Pahamune,Puttalam
60121,Metiyagane,Puttalam
60130,Dambadeniya,Puttalam
60135,Ihala Katugampala,Puttalam
60140,Giriulla,Puttalam
60155,Bopitiya,Puttalam
60156,Elibichchiya,Puttalam
60160,Pannala,Puttalam
60162,Labbala,Puttalam
60170,Gonawila,Puttalam
60174,Daraluwa,Puttalam
60176,Sandalankawa,Puttalam
60181,Horambawa,Puttalam
60182,Alahitiyawa,Puttalam
60183,Kekunagolla,Puttalam
60188,Kithalawa,Puttalam
60198,Walakumburumulla,Puttalam
60200,Kuliyapitiya,Puttalam
60202,Yakwila,Puttalam
