Postal Code,City
71720,Kitulgala
71722,Mahabage
71724,Teligama
800,Colombo 08
80000,Galle
80042,Wakwella
80044,Anangoda
80046,Walahanduwa
80048,Ankokkawala
80054,Gonamulla
80056,Hiyare
80058,Talagampola
80064,Nakiyadeniya
80070,Udugama
80075,Panangala
80080,Hiniduma
80082,Neluwa
80084,Warukandeniya
80086,Pannimulla anagoda
80090,Akmeemana
80092,Meda-Keembiya
80100,Wanduramba
80107,Yatalamatta
80108,Udalamatta
80112,Mapalagama
80114,ParanaThanaYamgoda
80120,Wanchawela
80122,Angulugaha
80130,Imaduwa
80130,lmaduwa
80132,Hawpe
80134,Ihala Walpola
80136,Kananke Bazaar
80142,Opatha
80143,Banagala
80144,Malgalla Talangalla
80146,Halvitigala
80148,Tawalama
80150,Yakkalamulla
80151,Karagoda
80152,Magedara
80166,Mapalagama Central
80168,Uluvitike
80170,Poddala
80200,Baddegama
80204,Ampegama
80212,Agaliya
80214,Unenwitiya
80220,Ginimellagaha
80230,Gonapinuwala
80240,Hikkaduwa
80244,Tiranagama
80250,Dodanduwa
80260,Ratgama
80270,Boossa
80280,Gintota
80300,Ambalangoda
80302,Godahena
80312,Kahawa
80320,Batapola
80330,Meetiyagoda
80332,Aluthwala
80340,Watugedara
80350,Uragasmanhandiya
80352,Uragaha
80354,Rantotuwila
80360,Karandeniya
80400,Elpitiya
80402,Ella Tanabaddegama
80406,Talgaspe
80408,Porawagama
80420,Pitigala
80422,Amugoda
80424,Mattaka
80432,lhalahewessa
80440,Ganegoda
80458,Ethkandura
80460,Kahaduwa
80470,Talgaswela
80500,Bentota
80502,Gonagalpura
80506,Haburugala
80510,Induruwa
80510,lnduruwa
80550,Balapitiya
80562,Ahungalla
80570,Kosgoda
80600,Unawatuna
80615,Talpe
80630,Habaraduwa
80650,Ahangama
80654,Dikkumbura
81000,Matara
81030,Ratmale
81032,Aparekka
81034,Yatiyana
81038,Diyagaha
81050,Palatuwa
81051,Sultanagoda
81060,Telijjawila
81064,Ransegoda
81070,Makandura
